# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
5.000000 3.000000 1575292.513436 5213499.147504 -24240.701127
5.000000 4.000000 1567868.890027 5219930.158366 -26066.233830
5.000000 5.000000 1560529.039757 5226288.597395 -28435.077467
5.000000 6.000000 1553234.067636 5232608.158931 -31039.447096
5.000000 7.000000 1545953.934525 5238914.865581 -33712.212344
5.000000 8.000000 1538646.043105 5245245.618977 -36244.543238
5.000000 9.000000 1531338.974911 5251575.659220 -38756.634320
5.000000 10.000000 1524110.311646 5257837.778056 -41647.533876
5.000000 11.000000 1517134.845237 5263880.554983 -45438.890585
6.000000 0.000000 1604853.349938 5201121.378913 -22675.609180
6.000000 1.000000 1597335.407224 5207634.097647 -22103.940162
6.000000 2.000000 1589798.251186 5214163.460694 -22461.468735
6.000000 3.000000 1582305.995817 5220653.926738 -23676.917714
6.000000 4.000000 1574892.825018 5227075.882609 -25587.163735
6.000000 5.000000 1567557.328511 5233430.550017 -27968.149656
6.000000 6.000000 1560285.107061 5239730.402873 -30666.887535
6.000000 7.000000 1553056.613374 5245992.374806 -33576.878283
6.000000 8.000000 1545812.279990 5252268.068509 -36415.969428
6.000000 9.000000 1538585.297796 5258528.731050 -39322.306631
6.000000 10.000000 1531453.637736 5264706.816978 -42601.646631
6.000000 11.000000 1524560.233437 5270678.504318 -46662.241122
7.000000 0.000000 1612157.780580 5208024.112573 -21464.444517
7.000000 1.000000 1604626.521074 5214548.367512 -21213.850664
7.000000 2.000000 1597088.688923 5221078.316268 -21725.612721
7.000000 3.000000 1589602.333383 5227563.671349 -23026.014349
7.000000 4.000000 1582197.496386 5233978.407731 -24986.591423
7.000000 5.000000 1574865.817634 5240329.767856 -27390.693246
7.000000 6.000000 1567622.858598 5246604.270975 -30239.444516
7.000000 7.000000 1560419.496610 5252844.471567 -33248.701213
7.000000 8.000000 1553242.124287 5259062.157572 -36363.992353
7.000000 9.000000 1546112.519731 5265238.462837 -39651.965229
7.000000 10.000000 1539122.115624 5271294.180142 -43421.877536
7.000000 11.000000 1532288.707034 5277213.893799 -47484.037795
8.000000 0.000000 1619309.188458 5215059.408326 -20320.059334
8.000000 1.000000 1611762.344936 5221597.163543 -20322.997197
8.000000 2.000000 1604238.110083 5228115.333095 -21029.914901
8.000000 3.000000 1596757.889658 5234595.373388 -22415.624249
8.000000 4.000000 1589353.462624 5241009.754622 -24377.104398
8.000000 5.000000 1582037.850041 5247347.196785 -26848.663560
8.000000 6.000000 1574816.656058 5253602.845056 -29793.216174
8.000000 7.000000 1567644.424342 5259816.077805 -32933.198926
8.000000 8.000000 1560529.054378 5265980.051785 -36302.894428
8.000000 9.000000 1553474.872757 5272091.018915 -39873.464351
8.000000 10.000000 1546538.863864 5278099.614189 -43830.139134
8.000000 11.000000 1539762.307474 5283970.077351 -48214.716633
9.000000 0.000000 1626640.022991 5221939.268559 -19306.672202
9.000000 1.000000 1619098.549253 5228472.371985 -19523.503745
9.000000 2.000000 1611577.672184 5234987.632723 -20338.855700
9.000000 3.000000 1604102.534138 5241463.270201 -21776.312548
9.000000 4.000000 1596707.619377 5247869.411050 -23773.369220
9.000000 5.000000 1589391.269838 5254207.491629 -26265.492733
9.000000 6.000000 1582173.399646 5260460.260534 -29218.214318
9.000000 7.000000 1575041.444761 5266638.601865 -32498.379463
9.000000 8.000000 1567992.670350 5272744.884783 -36085.926940
9.000000 9.000000 1561024.871849 5278781.019077 -39939.412291
9.000000 10.000000 1554158.827340 5284729.004904 -44106.893147
9.000000 11.000000 1547445.731805 5290544.492562 -48662.281855
10.000000 0.000000 1633873.892912 5228903.128267 -18252.989607
10.000000 1.000000 1626328.513765 5235439.614911 -18697.686768
10.000000 2.000000 1618809.335176 5241953.404273 -19667.438098
10.000000 3.000000 1611334.782515 5248428.534638 -21133.918981
10.000000 4.000000 1603933.424124 5254840.257537 -23142.595411
10.000000 5.000000 1596621.721871 5261174.312220 -25666.548467
10.000000 6.000000 1589427.382361 5267406.696730 -28711.576766
10.000000 7.000000 1582310.374843 5273572.089307 -32050.270424
10.000000 8.000000 1575340.923528 5279609.655417 -35915.011394
10.000000 9.000000 1568461.304551 5285569.400671 -40022.989392
10.000000 10.000000 1561650.767240 5291469.301166 -44329.126794
10.000000 11.000000 1554930.860487 5297290.689314 -48883.972147
11.000000 0.000000 1641098.320515 5235875.167762 -17645.627448
11.000000 1.000000 1633555.108776 5242409.776801 -18175.964695
11.000000 2.000000 1626041.346163 5248918.874357 -19161.941850
11.000000 3.000000 1618571.949249 5255389.538350 -20666.424087
11.000000 4.000000 1611165.307574 5261805.838106 -22616.360706
11.000000 5.000000 1603856.206403 5268137.639497 -25142.059852
11.000000 6.000000 1596652.590044 5274378.060449 -28125.155261
11.000000 7.000000 1589581.397554 5280503.763924 -31640.219647
11.000000 8.000000 1582626.428475 5286528.784218 -35550.273060
11.000000 9.000000 1575814.432631 5292429.948226 -39847.510077
11.000000 10.000000 1569081.965111 5298262.217641 -44382.261534
11.000000 11.000000 1562477.758250 5303983.376127 -49212.097113
12.000000 0.000000 1648160.736549 5242987.556262 -17090.965123
12.000000 1.000000 1640620.939885 5249519.206855 -17701.557176
12.000000 2.000000 1633106.306167 5256029.059041 -18725.864143
12.000000 3.000000 1625635.858290 5262500.633473 -20221.103658
12.000000 4.000000 1618235.175762 5268911.770879 -22216.028176
12.000000 5.000000 1610922.923261 5275246.302236 -24717.053243
12.000000 6.000000 1603718.778981 5281487.180520 -27721.759203
12.000000 7.000000 1596659.899959 5287602.216961 -31267.957612
12.000000 8.000000 1589747.282657 5293590.548334 -35303.881336
12.000000 9.000000 1582968.483192 5299462.954650 -39696.679458
12.000000 10.000000 1576305.634907 5305234.913616 -44413.158220
12.000000 11.000000 1569700.592245 5310956.796148 -49248.538863
13.000000 0.000000 1655430.835521 5249920.031105 -16617.210721
13.000000 1.000000 1647890.854937 5256451.841027 -17254.613929
13.000000 2.000000 1640374.247056 5262963.403410 -18269.083277
13.000000 3.000000 1632901.904310 5269436.619347 -19746.927595
13.000000 4.000000 1625493.356621 5275854.570265 -21706.130685
13.000000 5.000000 1618168.916308 5282199.659802 -24154.398937
13.000000 6.000000 1610966.361936 5288439.160764 -27168.697143
13.000000 7.000000 1603912.358451 5294549.973576 -30733.322646
13.000000 8.000000 1597016.052372 5300524.174699 -34817.489765
13.000000 9.000000 1590280.930865 5306358.743236 -39327.098521
13.000000 10.000000 1583618.520612 5312130.322740 -44039.526704
13.000000 11.000000 1577041.670522 5317827.782328 -48937.984229
14.000000 0.000000 1662888.996643 5256689.589584 -16249.815416
14.000000 1.000000 1655347.766330 5263222.482135 -16876.266941
14.000000 2.000000 1647828.560859 5269736.294784 -17875.353200
14.000000 3.000000 1640352.090566 5276213.086375 -19300.985683
14.000000 4.000000 1632931.562985 5282641.415352 -21185.410897
14.000000 5.000000 1625612.552405 5288981.801165 -23667.038385
14.000000 6.000000 1618398.978827 5295230.847956 -26633.802753
14.000000 7.000000 1611341.487234 5301344.682481 -30167.407422
14.000000 8.000000 1604422.581126 5307338.461784 -34173.672237
14.000000 9.000000 1597687.123252 5313173.321713 -38679.787534
14.000000 10.000000 1591061.605926 5318912.941242 -43478.934113
14.000000 11.000000 1584520.034930 5324579.838903 -48458.678974
15.000000 0.000000 1669954.774605 5263799.065679 -15992.184911
15.000000 1.000000 1662411.662405 5270333.588489 -16598.844351
15.000000 2.000000 1654892.625633 5276847.254996 -17591.222964
15.000000 3.000000 1647410.976484 5283328.532979 -18989.486571
15.000000 4.000000 1639997.516225 5289750.739606 -20905.169763
15.000000 5.000000 1632659.292687 5296107.769412 -23280.980531
15.000000 6.000000 1625427.685361 5302372.438659 -26174.617420
15.000000 7.000000 1618354.706035 5308499.690052 -29679.277937
15.000000 8.000000 1611472.043839 5314462.071616 -33784.926016
15.000000 9.000000 1604728.363567 5320304.054526 -38289.088914
15.000000 10.000000 1598140.686223 5326010.893656 -43189.982876
15.000000 11.000000 1591549.505668 5331720.767583 -48064.038848
16.000000 0.000000 1677263.703583 5270697.902476 -15763.651311
16.000000 1.000000 1669718.590960 5277234.158232 -16330.346552
16.000000 2.000000 1662197.571291 5283749.542503 -17294.998244
16.000000 3.000000 1654709.504236 5290236.380253 -18637.404003
16.000000 4.000000 1647284.965203 5296668.184312 -20490.339507
16.000000 5.000000 1639939.781519 5303031.243624 -22842.577314
16.000000 6.000000 1632724.801850 5309281.508497 -25808.078768
16.000000 7.000000 1625632.997580 5315425.067752 -29230.228038
16.000000 8.000000 1618710.851573 5321421.653746 -33228.097117
16.000000 9.000000 1611967.840591 5327263.056857 -37716.675926
16.000000 10.000000 1605313.694605 5333027.477108 -42441.714119
16.000000 11.000000 1598795.593249 5338674.043255 -47497.747621
17.000000 0.000000 1684405.441743 5277741.575009 -15538.189498
17.000000 1.000000 1676860.133362 5284278.000349 -16096.941439
17.000000 2.000000 1669336.055381 5290796.034005 -17019.734070
17.000000 3.000000 1661847.764439 5297283.065706 -18368.106685
17.000000 4.000000 1654420.692027 5303717.064406 -20185.387643
17.000000 5.000000 1647074.401864 5310081.082249 -22520.495939
17.000000 6.000000 1639839.993139 5316348.178320 -25401.734610
17.000000 7.000000 1632746.268137 5322493.401485 -28827.005145
17.000000 8.000000 1625798.919485 5328511.820280 -32749.782756
17.000000 9.000000 1619020.517861 5334383.881951 -37169.417148
17.000000 10.000000 1612409.099717 5340111.287499 -41984.210371
17.000000 11.000000 1605819.844973 5345819.493115 -46875.397615
18.000000 0.000000 1691562.781298 5284771.732211 -15285.253459
18.000000 1.000000 1684016.644482 5291308.875215 -15840.621639
18.000000 2.000000 1676492.152393 5297827.267608 -16772.463545
18.000000 3.000000 1669003.803215 5304314.349759 -18116.429937
18.000000 4.000000 1661571.644497 5310752.754675 -19927.728083
18.000000 5.000000 1654223.059158 5317118.760806 -22242.336610
18.000000 6.000000 1646969.767209 5323402.215225 -25040.544554
