along_strike_index,down_dip_index,cen_x,cen_y,cen_z
16,8,1618710.851573391,5321421.653746227,-33228.09711668384
16,9,1611967.8405912484,5327263.056856934,-37716.67592611744
16,10,1605313.6946052914,5333027.477108422,-42441.71411917057
16,11,1598795.5932489594,5338674.04325515,-47497.74762101862
17,0,1684405.4417432393,5277741.575009462,-15538.189497507008
17,1,1676860.133362336,5284278.000348851,-16096.941439326127
17,2,1669336.0553806354,5290796.034005315,-17019.734070030936
17,3,1661847.764438944,5297283.065706216,-18368.106684601757
17,4,1654420.6920272524,5303717.064405609,-20185.387642843285
17,5,1647074.4018642365,5310081.082249276,-22520.495939093224
17,6,1639839.9931390823,5316348.178320032,-25401.73461016548
17,7,1632746.2681374215,5322493.401485312,-28827.00514547287
17,8,1625798.9194850116,5328511.820280244,-32749.782756193843
17,9,1619020.5178612648,5334383.881950533,-37169.41714762745
17,10,1612409.099717199,5340111.287499064,-41984.21037054596
17,11,1605819.8449732736,5345819.4931152705,-46875.39761461261
18,0,1691562.7812977422,5284771.732210661,-15285.253458867966
18,1,1684016.6444823437,5291308.875214584,-15840.621638762435
18,2,1676492.1523928973,5297827.267608455,-16772.463545418075
18,3,1669003.8032147698,5304314.3497589985,-18116.429936661967
18,4,1661571.644496854,5310752.754674708,-19927.728082900856
18,5,1654223.059158178,5317118.7608061405,-22242.33660968136
18,6,1646969.7672091925,5323402.215225224,-25040.544553784446
18,7,1639856.666035966,5329564.223774535,-28410.078958410813
18,8,1632915.4686406066,5335577.313796881,-32327.534134476085
18,9,1626097.6135057833,5341483.553650023,-36628.10459179958
18,10,1619455.1798623607,5347237.827616077,-41376.045257642036
18,11,1612901.651824936,5352915.083543035,-46335.639624000265
19,0,1698820.2071973553,5291715.18561007,-15059.23818493097
19,1,1691275.686685462,5298250.928426399,-15629.276526499589
19,2,1683751.8991183557,5304768.710499599,-16565.41222821129
19,3,1676262.3845537177,5311256.802212844,-17901.005085301025
19,4,1668826.0443857242,5317698.82947702,-19676.34615560256
19,5,1661466.8334167283,5324074.040485943,-21940.618350619072
19,6,1654198.5040069004,5330370.521707262,-24671.017029540955
19,7,1647088.231004509,5336530.080240407,-28048.983614986348
19,8,1640097.7332910865,5342585.878636216,-31816.61687022075
19,9,1633275.721059898,5348495.719740447,-36091.514063516064
19,10,1626592.9751334565,5354284.915834916,-40736.12926984395
19,11,1619992.1095114541,5360003.179838911,-45572.49170720263
20,0,1705927.9518368454,5298788.306391129,-14736.249423814734
20,1,1698386.2012899858,5305321.649614398,-15368.150891349176
20,2,1690865.9949392837,5311836.329315571,-16348.030627132042
20,3,1683382.731403194,5318319.005825178,-17737.217213911157
20,4,1675947.856286614,5324759.763929937,-19526.106778035315
20,5,1668581.6959891121,5331140.995072782,-21762.017382411894
20,6,1661335.5256097068,5337418.28014722,-24568.57152968654
20,7,1654168.8786273466,5343626.674896534,-27729.114044895527
20,8,1647155.6243243506,5349702.187098752,-31447.62665474928
20,9,1640302.5494572967,5355638.937454392,-35632.96132225446
20,10,1633573.0397375834,5361468.644556215,-40167.91685931014
20,11,1626983.3026875863,5367177.267989358,-45045.27583550923
21,0,1713200.9497094203,5305718.269945787,-14308.89751352521
21,1,1705666.1095635039,5312245.626757693,-15048.459434623754
21,2,1698153.7756499245,5318753.486645163,-16128.757928163863
21,3,1690672.9951464515,5325234.012128397,-17547.862290121975
21,4,1683240.9587656297,5331672.311064702,-19363.479731822797
21,5,1675875.745491637,5338052.721810534,-21600.275399347818
21,6,1668598.4769641263,5344356.94690028,-24294.52730764606
21,7,1661422.6538572954,5350573.290834635,-27422.46400070385
21,8,1654379.1296290446,5356675.025570972,-31039.898664238164
21,9,1647511.6037873877,5362624.294661673,-35189.34450814162
21,10,1640704.6675909585,5368521.075547468,-39509.661353702904
21,11,1634139.8795426455,5374208.085909472,-44438.061069758885
22,0,1720397.838088458,5312714.166395036,-13794.767869947897
22,1,1712873.379426406,5319232.529831088,-14708.244945094308
22,2,1705370.3932719827,5325732.291848103,-15896.204367740787
22,3,1697899.8128050012,5332203.981141533,-17400.082571049035
22,4,1690477.7448259173,5338633.644550909,-19274.962409493164
22,5,1683112.310371961,5345014.246902736,-21510.87313483143
22,6,1675822.2844958717,5351329.523556221,-24148.4615358118
22,7,1668637.3008684125,5357553.803158163,-27229.751790834587
22,8,1661563.3520838164,5363681.89438399,-30737.476029495938
22,9,1654644.530026362,5369675.600874441,-34760.705404787586
22,10,1647854.3936931533,5375557.828206411,-39137.084217164906
22,11,1641200.036812598,5381322.4311537845,-43864.036333055185
23,0,1729599.5498851445,5317973.304328053,-12876.097833984883
23,1,1722090.1403412307,5324478.630863271,-13973.32528834923
23,2,1714599.7927905733,5330967.444183991,-15281.865929267206
23,3,1707135.031193731,5337434.0926482985,-16833.78560941936
23,4,1699708.9500808588,5343867.2325954195,-18677.302708293344
23,5,1692335.1154520158,5350255.111934907,-20855.011701304396
23,6,1685024.2782492014,5356588.417233014,-23386.373624634027
23,7,1677780.9712662923,5362863.221775647,-26231.70705208366
23,8,1670660.7372868059,5369031.409403827,-29568.873388216896
23,9,1663665.6614523237,5375091.173780215,-33337.931467069764
23,10,1656783.3203972962,5381053.277142385,-37439.047140887924
23,11,1650100.9372410965,5386842.158972615,-42080.453113933465
23,12,1643562.0917063858,5392506.695594022,-47079.489161341095
24,0,1739270.776560951,5322825.706207596,-11634.605854147192
24,1,1731789.066213171,5329307.037205673,-13006.58898415338
24,2,1724315.8249529598,5335781.03151772,-14478.852175290036
24,3,1716857.9613820652,5342241.704291,-16095.495974724461
